Point ID,j,k_0,k_1,k_Magnitude,lambda,Points_0,Points_1,Points_2,Points_Magnitude,trials,u,u_active,u_d,u_essential,∂u_∂x,∂u_∂x_d,∂u_∂xx,∂u_∂xx_d,∂u_∂y,∂u_∂y_d
39,4,0,19,19,2,-1,0.101562,0.000238204,1.00514,0,0.999988,1,-7.79671e-14,0,-0.000238353,-4.77963e-10,-0.00474633,-1.92894e-08,0.000238204,7.30774e-12
40,1,0,2,2,2,-1,0.104167,0.000226115,1.00541,0,0.999989,1,-2.05942e-08,0,-0.000226258,-4.0662e-07,-0.00450552,-9.05171e-06,0.000226115,4.11679e-07
41,4,0,20,20,2,-1,0.106771,0.00021464,1.00568,0,0.999989,1,-7.00481e-14,0,-0.000214776,-5.35035e-10,-0.0042769,-2.07592e-08,0.00021464,1.47771e-12
42,3,0,10,10,2,-1,0.109375,0.000203747,1.00596,0,0.99999,1,-4.10093e-12,0,-0.000203878,-8.28756e-11,-0.00405991,-1.2844e-09,0.000203747,7.81144e-11
43,4,0,21,21,2,-1,0.111979,0.000193407,1.00625,0,0.99999,1,-7.29035e-14,0,-0.000193532,-5.94933e-10,-0.00385389,-2.38188e-08,0.000193407,3.75252e-12
44,2,0,5,5,2,-1,0.114583,0.000183592,1.00654,0,0.999991,1,-2.4091e-10,0,-0.000183711,-4.81271e-09,-0.00365837,-9.56992e-08,0.000183592,4.81926e-09
45,4,0,22,22,2,-1,0.117188,0.000174274,1.00684,0,0.999991,1,-6.31821e-14,0,-0.000174388,-6.66293e-10,-0.00347271,-2.67471e-08,0.000174274,-2.12614e-12
46,3,0,11,11,2,-1,0.119792,0.00016543,1.00715,0,0.999992,1,-3.32054e-12,0,-0.00016554,-6.66627e-11,-0.00329654,-1.21465e-09,0.00016543,6.64824e-11
47,4,0,23,23,2,-1,0.122396,0.000157035,1.00746,0,0.999992,1,-4.77014e-14,0,-0.000157139,-7.51349e-10,-0.00312924,-2.99067e-08,0.000157034,-2.27654e-12
48,0,0,3,3,0,-1,0.125,0.000149065,1.00778,1,0.999993,1,0.999993,1,-0.000149165,-0.000149165,-0.00297049,-0.00297049,0.000149065,0.000149065
49,4,0,24,24,2,-1,0.127604,0.0001415,1.00811,0,0.999993,1,-4.50924e-14,0,-0.000141595,-8.49578e-10,-0.00281973,-3.3375e-08,0.0001415,3.60818e-12
50,3,0,12,12,2,-1,0.130208,0.000134319,1.00844,0,0.999993,1,-2.68201e-12,0,-0.000134411,-5.29599e-11,-0.00267669,-1.4286e-09,0.000134319,5.38776e-11
51,4,0,25,25,2,-1,0.132812,0.000127502,1.00878,0,0.999994,1,-3.68577e-14,0,-0.000127589,-9.64893e-10,-0.00254084,-3.7083e-08,0.000127502,-6.77094e-12
52,2,0,6,6,2,-1,0.135417,0.000121031,1.00913,0,0.999994,1,-1.58852e-10,0,-0.000121115,-3.17582e-09,-0.00241195,-6.30829e-08,0.000121031,3.1766e-09
53,4,0,26,26,2,-1,0.138021,0.000114889,1.00948,0,0.999994,1,-1.34406e-14,0,-0.000114968,-1.09397e-09,-0.00228952,-4.40339e-08,0.000114889,1.74698e-12
54,3,0,13,13,2,-1,0.140625,0.000109059,1.00984,0,0.999995,1,-2.20544e-12,0,-0.000109135,-4.09737e-11,-0.00217339,-1.10909e-09,0.000109059,3.71408e-11
55,4,0,27,27,2,-1,0.143229,0.000103524,1.01021,0,0.999995,1,-3.47569e-14,0,-0.000103596,-1.25836e-09,-0.00206307,-4.80821e-08,0.000103524,8.22409e-12
56,1,0,3,3,2,-1,0.145833,9.827e-05,1.01058,0,0.999995,1,-8.95273e-09,0,-9.83401e-05,-1.81069e-07,-0.00195843,-3.18154e-06,9.827e-05,1.79018e-07
57,4,0,28,28,2,-1,0.148438,9.32828e-05,1.01096,0,0.999995,1,-3.21132e-14,0,-9.33483e-05,-1.4441e-09,-0.00185901,-5.5907e-08,9.32828e-05,7.48837e-13
58,3,0,14,14,2,-1,0.151042,8.85487e-05,1.01134,0,0.999996,1,-1.77649e-12,0,-8.86128e-05,-3.7165e-11,-0.00176473,-4.86484e-10,8.85487e-05,2.834e-11
59,4,0,29,29,2,-1,0.153646,8.40548e-05,1.01173,0,0.999996,1,-3.46719e-14,0,-8.41144e-05,-1.67021e-09,-0.00167513,-6.45784e-08,8.40548e-05,-2.11424e-12
60,2,0,7,7,2,-1,0.15625,7.9789e-05,1.01213,0,0.999996,1,-1.04738e-10,0,-7.98477e-05,-2.10045e-09,-0.00159019,-3.92336e-08,7.9789e-05,2.09784e-09
61,4,0,30,30,2,-1,0.158854,7.57397e-05,1.01254,0,0.999996,1,-1.60479e-14,0,-7.57939e-05,-1.94888e-09,-0.00150943,-7.45036e-08,7.57397e-05,-1.55638e-12
62,3,0,15,15,2,-1,0.161458,7.18959e-05,1.01295,0,0.999996,1,-1.44529e-12,0,-7.19496e-05,-3.01626e-11,-0.00143292,-3.57594e-10,7.18959e-05,2.68098e-11
63,4,0,31,31,2,-1,0.164062,6.82472e-05,1.01337,0,0.999997,1,-2.0501e-14,0,-6.82963e-05,-2.28736e-09,-0.00136013,-8.62956e-08,6.82472e-05,3.25874e-12
64,0,0,4,4,0,-1,0.166667,6.47837e-05,1.01379,1,0.999997,1,0.999997,1,-6.48328e-05,-6.48328e-05,-0.0012912,-0.0012912,6.47837e-05,6.47837e-05
65,4,0,32,32,2,-1,0.169271,6.14959e-05,1.01423,0,0.999997,1,-2.10422e-14,0,-6.15403e-05,-2.70579e-09,-0.00122558,-1.01676e-07,6.14959e-05,-8.54359e-14
66,3,0,16,16,2,-1,0.171875,5.8375e-05,1.01466,0,0.999997,1,-1.17407e-12,0,-5.84201e-05,-2.56744e-11,-0.0011635,1.72783e-10,5.8375e-05,2.46135e-11
67,4,0,33,33,2,-1,0.174479,5.54124e-05,1.01511,0,0.999997,1,-1.78052e-14,0,-5.54525e-05,-3.23322e-09,-0.00110435,-1.20052e-07,5.54124e-05,6.72812e-13
68,2,0,8,8,2,-1,0.177083,5.26002e-05,1.01556,0,0.999997,1,-6.90399e-11,0,-5.26418e-05,-1.90762e-10,-0.00104843,1.26366e-08,5.26002e-05,1.37709e-09
69,4,0,34,34,2,-1,0.179688,4.99308e-05,1.01602,0,0.999998,1,-1.64174e-14,0,-4.99667e-05,-3.90559e-09,-0.000995098,-1.42413e-07,4.99308e-05,2.35385e-14
70,3,0,17,17,2,-1,0.182292,4.73968e-05,1.01648,0,0.999998,1,-9.55609e-13,0,-4.74351e-05,-1.49073e-11,-0.00094475,5.2944e-10,4.73968e-05,1.80843e-11
71,4,0,35,35,2,-1,0.184896,4.49914e-05,1.01695,0,0.999998,1,-1.56489e-14,0,-4.50235e-05,-4.77469e-09,-0.000896651,-1.70849e-07,4.49914e-05,6.32575e-13
72,1,0,4,4,2,-1,0.1875,4.27081e-05,1.01743,0,0.999998,1,-3.89135e-09,0,-4.27436e-05,-5.96975e-08,-0.000851327,-4.51206e-06,4.27081e-05,7.78215e-08
73,4,0,36,36,2,-1,0.190104,4.05406e-05,1.01791,0,0.999998,1,-1.36002e-14,0,-4.05691e-05,-5.91106e-09,-0.000807935,-2.07072e-07,4.05406e-05,7.26152e-13
74,3,0,18,18,2,-1,0.192708,3.84832e-05,1.0184,0,0.999998,1,-7.77711e-13,0,-3.85164e-05,3.4791e-10,-0.000767149,-5.63046e-08,3.84832e-05,1.43994e-11
75,4,0,37,37,2,-1,0.195312,3.65302e-05,1.0189,0,0.999998,1,-1.58883e-14,0,-3.6555e-05,-7.44705e-09,-0.000727994,-2.42526e-07,3.65302e-05,3.79609e-13
76,2,0,9,9,2,-1,0.197917,3.46762e-05,1.0194,0,0.999998,1,-4.54859e-11,0,-3.47077e-05,-1.27849e-08,-0.000691296,-6.66895e-09,3.46762e-05,9.13797e-10
77,4,0,38,38,2,-1,0.200521,3.29164e-05,1.01991,0,0.999998,1,-1.37858e-14,0,-3.29376e-05,-9.52098e-09,-0.000655966,-2.62768e-07,3.29164e-05,2.28406e-12
78,3,0,19,19,2,-1,0.203125,3.12459e-05,1.02042,0,0.999998,1,-6.13169e-13,0,-3.12761e-05,-1.8817e-09,-0.000622924,4.7921e-07,3.12459e-05,7.28744e-12
79,4,0,39,39,2,-1,0.205729,2.96602e-05,1.02094,0,0.999999,1,-1.53211e-14,0,-2.96776e-05,-1.21545e-08,-0.000591107,-2.13623e-07,2.96602e-05,-3.24655e-12
80,0,0,5,5,0,-1,0.208333,2.81549e-05,1.02147,1,0.999999,1,0.999999,1,-2.81842e-05,-2.81842e-05,-0.000561245,-0.000561245,2.81549e-05,2.81549e-05
81,4,0,40,40,2,-1,0.210938,2.6726e-05,1.02201,0,0.999999,1,-7.84095e-15,0,-2.67405e-05,-1.56014e-08,-0.00053272,2.80113e-07,2.6726e-05,-1.40526e-12
82,3,0,20,20,2,-1,0.213542,2.53697e-05,1.02255,0,0.999999,1,-5.01595e-13,0,-2.53955e-05,2.62531e-09,-0.000505828,-2.21673e-06,2.53697e-05,1.47395e-11
83,4,0,41,41,2,-1,0.216146,2.40822e-05,1.02309,0,0.999999,1,6.21031e-15,0,-2.41034e-05,1.22184e-08,-0.000478999,-3.28794e-06,2.40822e-05,-4.16403e-12
84,2,0,10,10,2,-1,0.21875,2.286e-05,1.02365,0,0.999999,1,-3.00127e-11,0,-2.28575e-05,4.2909e-08,-0.00045978,3.66191e-06,2.286e-05,6.01354e-10
85,4,0,42,42,2,-1,0.221354,2.16999e-05,1.02421,0,0.999999,0,0,0,-2.17136e-05,0,-0.000436034,0,2.16999e-05,0
86,3,0,21,21,2,-1,0.223958,2.05986e-05,1.02477,0,0.999999,1,-4.01085e-13,0,-2.06121e-05,8.33458e-08,-0.000412414,-1.75785e-06,2.05986e-05,1.13611e-11
87,4,0,43,43,2,-1,0.226562,1.95532e-05,1.02534,0,0.999999,0,0,0,-1.95022e-05,0,-0.000390689,0,1.95532e-05,0
88,1,0,5,5,2,-1,0.229167,1.85609e-05,1.02592,0,0.999999,1,-1.69125e-09,0,-1.84932e-05,-2.39397e-07,-0.000365678,1.2711e-05,1.85609e-05,3.3822e-08
89,4,0,44,44,2,-1,0.231771,1.76189e-05,1.02651,0,0.999999,0,0,0,-1.76918e-05,0,-0.000332562,0,1.76189e-05,0
90,3,0,22,22,2,-1,0.234375,1.67247e-05,1.0271,0,0.999999,1,-3.38158e-13,0,-1.69633e-05,1.24524e-07,-0.000299862,-9.02513e-06,1.67247e-05,6.89406e-12
91,4,0,45,45,2,-1,0.236979,1.5876e-05,1.0277,0,0.999999,0,0,0,-1.61736e-05,0,-0.00027598,0,1.5876e-05,0
92,2,0,11,11,2,-1,0.239583,1.50703e-05,1.0283,0,0.999999,1,-1.98001e-11,0,-1.53658e-05,2.16422e-07,-0.000258709,-2.19162e-05,1.50703e-05,3.99109e-10
93,4,0,46,46,2,-1,0.242188,1.43054e-05,1.02891,0,0.999999,0,0,0,-1.4583e-05,0,-0.000245619,0,1.43054e-05,0
94,3,0,23,23,2,-1,0.244792,1.35794e-05,1.02953,0,0.999999,1,-2.79644e-13,0,-1.38326e-05,-4.34899e-08,-0.000234573,4.48336e-06,1.35794e-05,1.11866e-11
95,4,0,47,47,2,-1,0.247396,1.28903e-05,1.03015,0,0.999999,0,0,0,-1.31282e-05,0,-0.000222986,0,1.28903e-05,0
96,0,0,6,6,0,-1,0.25,1.22361e-05,1.03078,1,0.999999,1,0.999999,1,-1.24643e-05,-1.24643e-05,-0.00021141,-0.00021141,1.22361e-05,1.22361e-05
97,4,0,48,48,2,-1,0.252604,1.16151e-05,1.03141,0,0.999999,0,0,0,-1.18322e-05,0,-0.000200653,0,1.16151e-05,0
98,3,0,24,24,2,-1,0.255208,1.10256e-05,1.03205,0,0.999999,1,-2.59355e-13,0,-1.12327e-05,4.80458e-09,-0.000190315,-3.37522e-07,1.10256e-05,3.82221e-12
99,4,0,49,49,2,-1,0.257812,1.04661e-05,1.0327,0,0.999999,0,0,0,-1.06657e-05,0,-0.000180115,0,1.04661e-05,0
100,2,0,12,12,2,-1,0.260417,9.93492e-06,1.03335,0,1,1,-1.30409e-11,0,-1.0124e-05,-2.69645e-08,-0.000170992,1.97388e-06,9.93492e-06,2.62998e-10
101,4,0,50,50,2,-1,0.263021,9.43072e-06,1.03401,0,1,0,0,0,-9.60096e-06,0,-0.000163846,0,9.43072e-06,0
102,3,0,25,25,2,-1,0.265625,8.95211e-06,1.03468,0,1,1,-1.842e-13,0,-9.10462e-06,-1.27841e-08,-0.000157105,1.95047e-06,8.95211e-06,-5.62192e-12
103,4,0,51,51,2,-1,0.268229,8.49779e-06,1.03535,0,1,0,0,0,-8.64305e-06,0,-0.000149238,0,8.49779e-06,0
104,1,0,6,6,2,-1,0.270833,8.06652e-06,1.03603,0,1,1,-7.35031e-10,0,-8.21034e-06,-5.7446e-08,-0.000140828,6.65199e-06,8.06652e-06,1.471e-08
105,4,0,52,52,2,-1,0.273438,7.65714e-06,1.03671,0,1,0,0,0,-7.80059e-06,0,-0.000132472,0,7.65714e-06,0
106,3,0,26,26,2,-1,0.276042,7.26855e-06,1.0374,0,1,1,-1.05917e-13,0,-7.40969e-06,8.65503e-09,-0.000124782,-1.51207e-06,7.26855e-06,-1.93744e-13
107,4,0,53,53,2,-1,0.278646,6.89967e-06,1.0381,0,1,0,0,0,-7.0333e-06,0,-0.000118416,0,6.89967e-06,0
108,2,0,13,13,2,-1,0.28125,6.54951e-06,1.0388,0,1,1,-8.59711e-12,0,-6.67397e-06,9.90503e-09,-0.000112761,-1.64196e-06,6.54951e-06,1.65928e-10
109,4,0,54,54,2,-1,0.283854,6.21712e-06,1.03951,0,1,0,0,0,-6.33466e-06,0,-0.000107141,0,6.21712e-06,0
110,3,0,27,27,2,-1,0.286458,5.9016e-06,1.04022,0,1,1,-9.1132e-14,0,-6.01341e-06,-1.2812e-09,-0.000101688,2.58547e-07,5.9016e-06,6.54013e-12
111,4,0,55,55,2,-1,0.289062,5.60209e-06,1.04094,0,1,0,0,0,-5.7084e-06,0,-9.65115e-05,0,5.60209e-06,0
112,0,0,7,7,0,-1,0.291667,5.31778e-06,1.04167,1,1,1,1,1,-5.41885e-06,-5.41885e-06,-9.15909e-05,-9.15909e-05,5.31778e-06,5.31778e-06
113,4,0,56,56,2,-1,0.294271,5.0479e-06,1.0424,0,1,0,0,0,-5.14385e-06,0,-8.69352e-05,0,5.0479e-06,0
114,3,0,28,28,2,-1,0.296875,4.79172e-06,1.04314,0,1,1,-9.61974e-14,0,-4.8827e-06,5.38035e-11,-8.25382e-05,-4.48436e-08,4.79172e-06,3.21437e-12
115,4,0,57,57,2,-1,0.299479,4.54854e-06,1.04388,0,1,0,0,0,-4.63471e-06,0,-7.84017e-05,0,4.54854e-06,0
116,2,0,14,14,2,-1,0.302083,4.3177e-06,1.04463,0,1,1,-5.63794e-12,0,-4.39975e-06,-1.18052e-09,-7.43934e-05,2.65074e-07,4.3177e-06,1.23657e-10
117,4,0,58,58,2,-1,0.304688,4.09858e-06,1.04539,0,1,0,0,0,-4.17776e-06,0,-7.03792e-05,0,4.09858e-06,0
118,3,0,29,29,2,-1,0.307292,3.89058e-06,1.04615,0,1,1,-4.88654e-14,0,-3.96677e-06,2.08535e-09,-6.66011e-05,-3.62772e-07,3.89058e-06,-1.66405e-13
119,4,0,59,59,2,-1,0.309896,3.69313e-06,1.04692,0,1,0,0,0,-3.76487e-06,0,-6.32968e-05,0,3.69313e-06,0
120,1,0,7,7,2,-1,0.3125,3.50571e-06,1.04769,0,1,1,-3.19447e-10,0,-3.57264e-06,-7.33458e-10,-6.02766e-05,-1.04973e-06,3.50571e-06,6.38114e-09
121,4,0,60,60,2,-1,0.315104,3.32779e-06,1.04847,0,1,0,0,0,-3.3907e-06,0,-5.73502e-05,0,3.32779e-06,0
122,3,0,30,30,2,-1,0.317708,3.1589e-06,1.04926,0,1,1,-6.98504e-14,0,-3.21846e-06,-7.33393e-10,-5.45012e-05,1.56052e-07,3.1589e-06,6.75162e-12
123,4,0,61,61,2,-1,0.320312,2.99858e-06,1.05005,0,1,0,0,0,-3.05537e-06,0,-5.17081e-05,0,2.99858e-06,0
124,2,0,15,15,2,-1,0.322917,2.8464e-06,1.05085,0,1,1,-3.73631e-12,0,-2.90064e-06,-1.4591e-11,-4.90289e-05,3.09297e-08,2.8464e-06,7.82847e-11
125,4,0,62,62,2,-1,0.325521,2.70195e-06,1.05165,0,1,0,0,0,-2.75348e-06,0,-4.65323e-05,0,2.70195e-06,0
126,3,0,31,31,2,-1,0.328125,2.56482e-06,1.05246,0,1,1,-5.31485e-14,0,-2.61366e-06,-4.47587e-12,-4.4183e-05,-9.65408e-09,2.56482e-06,-1.9474e-12
127,4,0,63,63,2,-1,0.330729,2.43466e-06,1.05327,0,1,0,0,0,-2.48099e-06,0,-4.19454e-05,0,2.43466e-06,0
128,0,0,8,8,0,-1,0.333333,2.3111e-06,1.05409,1,1,1,1,1,-2.35509e-06,-2.35509e-06,-3.98172e-05,-3.98172e-05,2.3111e-06,2.3111e-06
129,4,0,64,64,2,-1,0.335938,2.19381e-06,1.05492,0,1,0,0,0,-2.23561e-06,0,-3.77921e-05,0,2.19381e-06,0
130,3,0,32,32,2,-1,0.338542,2.08247e-06,1.05575,0,1,1,-2.98841e-14,0,-2.12217e-06,1.09587e-10,-3.58718e-05,-1.63793e-08,2.08247e-06,-1.24399e-12
131,4,0,65,65,2,-1,0.341146,1.97679e-06,1.05659,0,1,0,0,0,-2.01442e-06,0,-3.40588e-05,0,1.97679e-06,0
132,2,0,16,16,2,-1,0.34375,1.87646e-06,1.05743,0,1,1,-2.46314e-12,0,-1.91214e-06,-2.40174e-10,-3.23398e-05,2.22014e-08,1.87646e-06,5.00848e-11
133,4,0,66,66,2,-1,0.346354,1.78123e-06,1.05828,0,1,0,0,0,-1.81511e-06,0,-3.07027e-05,0,1.78123e-06,0
134,3,0,33,33,2,-1,0.348958,1.69084e-06,1.05914,0,1,1,-2.12417e-14,0,-1.72307e-06,-1.05744e-10,-2.91369e-05,2.41514e-08,1.69084e-06,3.4569e-12
135,4,0,67,67,2,-1,0.351562,1.60503e-06,1.06,0,1,0,0,0,-1.63578e-06,0,-2.76319e-05,0,1.60503e-06,0
136,1,0,8,8,2,-1,0.354167,1.52357e-06,1.06086,0,1,1,-1.38831e-10,0,-1.55287e-06,-2.50197e-09,-2.62088e-05,-1.00099e-07,1.52357e-06,2.77277e-09
137,4,0,68,68,2,-1,0.356771,1.44625e-06,1.06174,0,1,0,0,0,-1.47399e-06,0,-2.48891e-05,0,1.44625e-06,0
138,3,0,34,34,2,-1,0.359375,1.37285e-06,1.06261,0,1,1,-2.57832e-14,0,-1.39905e-06,-1.12229e-10,-2.36471e-05,1.54523e-08,1.37285e-06,-1.18325e-12
139,4,0,69,69,2,-1,0.361979,1.30318e-06,1.0635,0,1,0,0,0,-1.328e-06,0,-2.24569e-05,0,1.30318e-06,0
140,2,0,17,17,2,-1,0.364583,1.23704e-06,1.06439,0,1,1,-1.65323e-12,0,-1.2606e-06,-2.2e-10,-2.13198e-05,3.03573e-08,1.23704e-06,3.57728e-11
141,4,0,70,70,2,-1,0.367188,1.17426e-06,1.06528,0,1,0,0,0,-1.19663e-06,0,-2.02367e-05,0,1.17426e-06,0
142,3,0,35,35,2,-1,0.369792,1.11466e-06,1.06618,0,1,1,-1.73438e-14,0,-1.13592e-06,4.60092e-11,-1.92073e-05,-7.5086e-09,1.11466e-06,4.91143e-12
143,4,0,71,71,2,-1,0.372396,1.0581e-06,1.06709,0,1,0,0,0,-1.07827e-06,0,-1.82325e-05,0,1.0581e-06,0
144,0,0,9,9,0,-1,0.375,1.0044e-06,1.068,1,1,1,1,1,-1.02355e-06,-1.02355e-06,-1.73084e-05,-1.73084e-05,1.0044e-06,1.0044e-06
145,4,0,72,72,2,-1,0.377604,9.53429e-07,1.06892,0,1,0,0,0,-9.71597e-07,0,-1.64311e-05,0,9.53429e-07,0
